Year,Rainfall,Month,Date,TMX,TMN
1982,13.8,1,1,29,26.7
1982,3.1,1,2,28.8,26.9
1982,0.2,1,3,28.9,26.8
1982,2.5,1,4,27.6,26.4
1982,0.7,1,5,27.7,26.6
1982,0.9,1,6,28.7,26.1
1982,0,1,7,29.1,26.8
1982,0,1,8,28.8,26.6
1982,0,1,9,28.3,26.5
1982,0,1,10,28.4,26.3
1982,1.4,1,11,28.3,26.4
1982,0,1,12,28.7,26.1
1982,0,1,13,28.6,26.6
1982,0,1,14,28.2,26.6
1982,0.9,1,15,28.6,26.6
1982,0,1,16,28.4,26.8
1982,0.3,1,17,27.9,26.1
1982,0,1,18,28,26
1982,0,1,19,28.3,26.6
1982,1.2,1,20,28.7,26.4
1982,0,1,21,28.4,26.9
1982,0.1,1,22,27.9,26.9
1982,6,1,23,29,26.8
1982,0,1,24,29.1,27.1
1982,0,1,25,29,27.1
1982,0,1,26,28.7,26.8
1982,0,1,27,28.8,26.8
1982,0,1,28,28.8,26.5
1982,3.1,1,29,29.9,26.5
1982,0.6,1,30,28.9,26.7
1982,24,1,31,29.2,26.7
1982,19.9,2,1,28.6,26.3
1982,0.5,2,2,28,26.3
1982,0.8,2,3,28.7,27
1982,2.4,2,4,29.1,27.5
1982,5.2,2,5,28.9,27.2
1982,2.8,2,6,28.7,27
1982,12.3,2,7,28.3,26.5
1982,4.6,2,8,28.5,26.5
1982,0.1,2,9,28.9,26.4
1982,0.5,2,10,28.8,26.7
1982,0,2,11,28.5,26.9
1982,2.1,2,12,27.8,26.5
1982,5.5,2,13,27.5,26.4
1982,2.9,2,14,27.9,26.5
1982,15.2,2,15,28.2,26.5
1982,4.9,2,16,28,26.7
1982,6.8,2,17,27.8,26.6
1982,1.9,2,18,28.5,26.9
1982,0.2,2,19,28.5,26.7
1982,0,2,20,28.6,26.7
1982,0,2,21,28.6,26.9
1982,0,2,22,29.3,26.8
1982,0.2,2,23,29.3,26.6
1982,1.3,2,24,29.2,26.9
1982,10,2,25,28.7,26.5
1982,6.7,2,26,28.1,26.5
1982,2.1,2,27,27.3,26.3
1982,4.8,2,28,28.2,26.3
1982,5.8,3,1,27.8,26.5
1982,0.1,3,2,28.7,27.2
1982,0.4,3,3,29.3,26.8
1982,0.3,3,4,28.7,27.3
1982,3,3,5,29.1,27.3
1982,19.4,3,6,27.7,26.7
1982,13.6,3,7,28.8,26.2
1982,11,3,8,28.4,26.2
1982,9.4,3,9,28.5,26.1
1982,1.5,3,10,28.8,26
1982,7.1,3,11,27.6,26.3
1982,9.6,3,12,29.3,26.3
1982,8.9,3,13,29.5,26.3
1982,12.8,3,14,29,26.4
1982,17.2,3,15,29,26.9
1982,8.1,3,16,28.6,26.7
1982,2.8,3,17,28.9,26.7
1982,4.8,3,18,29,27
1982,11.6,3,19,29.1,26.6
1982,15.2,3,20,27.7,26.6
1982,13.5,3,21,28.1,26.5
1982,8.2,3,22,28.4,27.2
1982,6,3,23,28.6,27.5
1982,0.9,3,24,29,27
1982,0,3,25,29.2,26.9
1982,0,3,26,29.8,27.3
1982,3,3,27,28.9,27.5
1982,14.3,3,28,27.9,27.1
1982,8.9,3,29,28.3,26.6
1982,12.2,3,30,28.9,26.2
1982,3.1,3,31,29.1,26.1
1982,12.6,4,1,29.5,25.7
1982,7.6,4,2,29.1,26.6
1982,16.2,4,3,27.6,26.1
1982,11.8,4,4,28.6,26.2
1982,11.7,4,5,28.6,25.7
1982,5.8,4,6,28.5,26.6
1982,4.8,4,7,28.7,25.9
1982,5.3,4,8,28.3,26.1
1982,0,4,9,28.3,26
1982,0.3,4,10,28.6,26.2
1982,0.7,4,11,28.4,25.9
1982,0.1,4,12,29.3,26.5
1982,6.5,4,13,29.2,26
1982,8,4,14,29.2,26
1982,5.4,4,15,29.5,26.2
1982,4.2,4,16,28.7,26.6
1982,0.5,4,17,28.6,26.3
1982,4.2,4,18,28.9,26.7
1982,23.3,4,19,28.6,26.9
1982,16.8,4,20,28.1,26.3
1982,3.7,4,21,29.4,25.9
1982,17.1,4,22,29.1,25.4
1982,0.6,4,23,28.2,24.3
1982,0,4,24,28.4,24.1
1982,0,4,25,28.6,24.3
1982,0.2,4,26,28.5,24.6
1982,0,4,27,29.4,24.8
